Count,Name,Section
1,"Renata, Called to the Hunt",main
1,Repeal,main
1,Reprieve,main
1,Resolute Reinforcements,main
1,Restless Fortress,main
1,Restless Vinestalk,main
1,Return from the Wilds,main
1,Reveillark,main
1,"Rielle, the Everwise",main
1,Rigging Runner,main
1,River Kelpie,main
1,Roaring Earth,main
1,Rootbound Crag,main
1,Rubblebelt Rioters,main
1,Ruthless Sniper,main
2,Sacred Foundry,main
1,"Saheeli, Sublime Artificer",main
1,Sai of the Shinobi,main
1,Sanctum Seeker,main
1,Sanguine Bond,main
1,Saproling Migration,main
1,Satyr Wayfinder,main
2,Scalding Tarn,main
1,Scattered Groves,main
1,Scavenging Ooze,main
1,Scryb Ranger,main
1,Seal of Fire,main
1,Serum Visions,main
1,Setessan Champion,main
1,Sevinne's Reclamation,main
1,Shadowstorm Vizier,main
1,Shelldock Isle,main
1,Sheltered Thicket,main
1,Siege-Gang Commander,main
1,Skarrgan Hellkite,main
1,Sleep of the Dead,main
1,Snapcaster Mage,main
1,Song of the Dryads,main
1,Soul Warden,main
1,Sparring Construct,main
1,Spell Pierce,main
1,Spellstutter Sprite,main
1,Sphinx of Lost Truths,main
1,Spider Food,main
1,Spirited Companion,main
1,Sprout Swarm,main
1,Steam Vents,main
1,Stern Scolding,main
1,Stitch Together,main
1,Stitcher's Supplier,main
1,Stomping Ground,main
1,Sulfur Falls,main
1,Sulfurous Springs,main
1,Sunbaked Canyon,main
1,Sunken Ruins,main
1,"Takenuma, Abandoned Mire",main
1,"Tameshi, Reality Architect",main
1,"Tamiyo, Compleated Sage",main
1,Tangled Colony,main
1,Tarmogoyf,main
1,Tectonic Reformation,main
1,Temple Garden,main
1,"Tezzeret, Betrayer of Flesh",main
1,The Binding of the Titans,main
1,The Goose Mother,main
1,The Huntsman's Redemption,main
1,The Reality Chip,main
1,The Wandering Emperor,main
1,Thing in the Ice // Awoken Horror,main
1,Throne of the God-Pharaoh,main
1,Tibalt's Rager,main
1,"Titania, Protector of Argoth",main
1,Touch the Spirit Realm,main
1,Treasure Cruise,main
1,Turn to Mist,main
1,Twinshot Sniper,main
1,Ulcerate,main
1,Undercity Sewers,main
1,Underground Mortuary,main
1,Unearth,main
1,Unholy Heat,main
1,Unmake,main
1,Unsummon,main
1,Untamed Kavu,main
1,Utopia Sprawl,main
1,Vampire Aristocrat,main
1,Vampire Hexmage,main
1,Vampire of the Dire Moon,main
2,Verdant Catacombs,main
1,Vexing Gull,main
1,Vines of Vastwood,main
1,Virtue of Persistence // Locthwain Scorn,main
1,Viscera Seer,main
1,"Vivien, Champion of the Wilds",main
1,Warden of the Inner Sky,main
1,Watery Grave,main
1,Welcoming Vampire,main
1,Werefox Bodyguard,main
1,Wilderness Reclamation,main
1,Winds of Rebuke,main
2,Windswept Heath,main
1,Woe Strider,main
2,Wooded Foothills,main
1,Woodland Cemetery,main
1,Woodland Champion,main
1,Worm Harvest,main
1,Wrath of God,main
1,Young Pyromancer,main
1,Zulaport Cutthroat,main

